Trying to read excel file by admin at Mar 24, 2015, 2:11 pm.
Trying to make database connection.
..connected.

1st sheet is consist of 906 rows.
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('1015', '10 PM', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('3003', '3 SECOND', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('3011', '3H', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('9001', '90 DEGREES', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('A016', 'ABBA COLLECTION', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('A030', 'ACCENT', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('A031', 'ACCENT MATERNITY', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('A098', 'AKO', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('A125', 'ALICE', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('A134', 'ALL PEOPLE', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('A181', 'ANGGAS', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('A188', 'ANNA FUNG', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('A216', 'ARCEN CIEL', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('A218', 'ARELLA', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('A224', 'ARITHALIA', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('A225', 'ARIWANNI', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('A273', 'ATMOSPHERE', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('A438', 'AZQA', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('A510', 'ASYIFA', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('A518', 'AMELIA', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('A602', 'AL FATH', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('A643', 'ANTRA KESUMA', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('A705', 'ANGGIA HANDMADE', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('A716', 'AMARY', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('A717', 'ANGGUN BATIK', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('B010', 'B_BOOP LDS', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
